"sample_index","timestamp_utc","elapsed_seconds","pid","parent_pid","process_name","instance_key","event","cpu_total_seconds","working_set_bytes","private_bytes","error"
"27","2026-09-12T05:21:01.3233331Z","45.631391","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.937500","55492608","223354880",""
"27","2026-09-12T05:21:01.3464137Z","45.654470","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.218750","41553920","21889024",""
"28","2026-09-12T05:21:03.0669116Z","47.374986","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9797632","1544192",""
"28","2026-09-12T05:21:03.0923981Z","47.400474","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.328125","90910720","97165312",""
"28","2026-09-12T05:21:03.1188670Z","47.426942","14372","65944","UnrealEditor","14372:639247872156630390","Sample","66.843750","3423592448","3822198784",""
"28","2026-09-12T05:21:03.1437564Z","47.451833","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","1.093750","78053376","42594304",""
"28","2026-09-12T05:21:03.1673181Z","47.475399","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38912000","24367104",""
"28","2026-09-12T05:21:03.1911872Z","47.499263","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28721152","19480576",""
"28","2026-09-12T05:21:03.2155950Z","47.523672","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.953125","55492608","223354880",""
"28","2026-09-12T05:21:03.2424269Z","47.550503","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.218750","41553920","21889024",""
"29","2026-09-12T05:21:04.8238400Z","49.131933","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9797632","1544192",""
"29","2026-09-12T05:21:04.8469915Z","49.155085","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.359375","90910720","97165312",""
"29","2026-09-12T05:21:04.8709848Z","49.179080","14372","65944","UnrealEditor","14372:639247872156630390","Sample","69.812500","3420491776","3819053056",""
"29","2026-09-12T05:21:04.8951712Z","49.203264","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","1.187500","78614528","43151360",""
"29","2026-09-12T05:21:04.9202508Z","49.228345","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38912000","24367104",""
"29","2026-09-12T05:21:04.9436897Z","49.251786","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28721152","19480576",""
"29","2026-09-12T05:21:04.9672213Z","49.275317","46004","14372","zenserver.exe","46004:639247872218402360","Sample","0.968750","55496704","223358976",""
"29","2026-09-12T05:21:04.9919317Z","49.300026","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.218750","41553920","21889024",""
"30","2026-09-12T05:21:06.7500373Z","51.058149","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9797632","1544192",""
"30","2026-09-12T05:21:06.7752038Z","51.083317","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.375000","90910720","97165312",""
